id,title,year,rating
32,TheShawshankRedemption,1994,9.3
31,TheGodfather,1972,9.2
6,LaLaLand,2016,9
30,SchindlersList,1993,9
7,TheDarkKnight,2008,9
12,TheLordOfTheRings3,2003,9
9,PulpFiction,1994,8.9
11,FightClub,1999,8.8
10,ForrestGump,1994,8.8
1,Inception,2010,8.8
21,Goodfellas,1990,8.7
3,Interstellar,2014,8.7
8,TheMatrix,1999,8.7
29,CityOfGod,2002,8.6
26,LifeIsBeautiful,1997,8.6
2,Parasite,2019,8.6
24,SavingPrivateRyan,1998,8.6
22,Se7en,1995,8.6
25,SpiritedAway,2001,8.6
28,StarWars4,1977,8.6
27,TheGreenMile,1999,8.6
23,TheSilenceOfTheLambs,1991,8.6
5,AboutTime,2013,8.5
33,Casablanca,1942,8.5
13,Gladiator,2000,8.5
35,OnceUponATimeInWest,1968,8.5
34,Psycho,1960,8.5
36,RearWindow,1954,8.5
14,TheDeparted,2006,8.5
17,TheLionKing,1994,8.5
16,ThePrestige,2006,8.5
15,Whiplash,2014,8.5
37,Alien,1979,8.4
38,ApocalypseNow,1979,8.4
44,AvengersInfinityWar,2018,8.4
46,Coco,2017,8.4
40,DjangoUnchained,2012,8.4
42,Joker,2019,8.4
18,Memento,2000,8.4
39,RaidersOfTheLostArk,1981,8.4
43,SpiderManIntoTheSpiderVerse,2018,8.4
41,TheDarkKnightRises,2012,8.4
20,TheShine,1980,8.4
19,WALL-E,2008,8.4
54,WALL-E,2008,8.4
45,YourName,2016,8.4
56,Braveheart,1995,8.3
4,ToyStory,1995,8.3
53,Up,2009,8.3
51,FindingNemo,2003,8.2
58,GreenBook,2018,8.2
49,JurassicPark,1993,8.2
48,TheTrumanShow,1998,8.2
57,TheWolfOfWallStreet,2013,8.2
47,InsideOut,2015,8.1
50,MonstersInc,2001,8.1
52,Ratatouille,2007,8.1
59,TheGrandBudapestHotel,2014,8.1
60,Her,2013,8
55,TheIncredibles,2004,8
