userId, movieId, score
14,1,5
14,2,4
14,3,5
1,1,5
1,2,4
1,3,5
1,6,5
1,7,4
1,30,5
1,42,4
2,1,5
2,2,3
2,3,4
2,6,4
2,15,5
2,31,4
2,50,3
19,8,5
19,9,4
19,10,3
19,11,5
19,12,4
19,13,5
19,20,4
19,45,5
3,1,4
3,10,5
3,11,4
3,21,3
3,33,4
3,44,5
4,12,5
4,13,4
4,22,5
4,26,4
4,40,3
5,1,5
5,8,4
5,17,5
5,19,4
5,25,5
5,38,4
6,9,3
6,14,5
6,18,4
6,24,5
6,29,4
6,34,5
7,2,3
7,23,5
7,27,4
7,32,5
7,35,4
7,41,5
8,16,4
8,28,5
8,36,3
8,39,4
8,43,5
9,4,4
9,5,5
9,37,4
9,46,5
9,48,4
10,1,3
10,47,5
10,49,4
10,51,5
10,53,4
11,52,5
11,54,4
11,56,5
11,58,4
11,59,5
12,3,4
12,55,5
12,57,4
12,60,5
13,10,4
13,20,5
13,30,4
13,40,5
15,11,5
15,21,4
15,31,5
15,41,4
16,12,4
16,22,5
16,32,4
16,42,5
17,13,5
17,23,4
17,33,5
17,43,4
18,14,4
18,24,5
18,34,4
18,44,5
20,15,5
20,25,4
20,35,5
20,45,4
20,50,5
